Bandit,Reward,Algorithm
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
0,1,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
3,4,EpsilonGreedy
